now,currency,cash,frozen_cash,total_returns,daily_returns,daily_pnl,market_value,dividend_receivable,total_value,units,units_net_value,static_unit_net_value,transaction_cost,pnl,start_date,annualized_returns
2022-12-05,CNY,4985.578622198517,0,0.7235073678622201,-0.00408290576506134,-70657.670293089,17230088.1,0,17235073.6786222,0,0,0,1090666.8893361096,7235073.678622201,2017-01-01,0.09611767633848389
2022-12-06,CNY,4985.958358026005,0,0.7066459908358027,-0.009783176643643686,-168613.7702641748,17061473.95,0,17066459.908358026,0,0,0,1090666.8893361096,7066459.908358026,2017-01-01,0.09425686160901203
2022-12-07,CNY,4169.166285153677,0,0.6957639416285153,-0.006376277954374106,-108820.49207287282,16953470.25,0,16957639.416285153,0,0,0,1100035.5989370674,6957639.4162851535,2017-01-01,0.09303307528733895
2022-12-08,CNY,4169.483837423774,0,0.6980847083837423,0.0013685671090507248,23207.667552269995,16976677.6,0,16980847.083837423,0,0,0,1100035.5989370674,6980847.0838374235,2017-01-01,0.09323991860416725
2022-12-09,CNY,4169.8014138808285,0,0.7030784726413883,0.002940821640399262,49937.642576459795,17026614.925,0,17030784.726413883,0,0,0,1100035.5989370674,7030784.726413883,2017-01-01,0.0937353299737207
2022-12-12,CNY,4170.119014526681,0,0.6996515119014528,-0.002012215405800133,-34269.60739935562,16992345.0,0,16996515.119014528,0,0,0,1100035.5989370674,6996515.119014528,2017-01-01,0.09322987379284342
2022-12-13,CNY,4170.436639363175,0,0.7033602936639365,0.002182083642743086,37087.81762483716,17029432.5,0,17033602.936639365,0,0,0,1100035.5989370674,7033602.936639365,2017-01-01,0.09358534765766091
2022-12-14,CNY,4170.754288392153,0,0.7165742004288393,0.007757552418038194,132139.0676490292,17161571.25,0,17165742.004288394,0,0,0,1100035.5989370674,7165742.004288394,2017-01-01,0.09496004326255192
2022-12-15,CNY,4171.071961615457,0,0.7099003021961614,-0.0038879171264549236,-66738.98232677951,17094831.95,0,17099003.021961614,0,0,0,1100035.5989370674,7099003.0219616145,2017-01-01,0.09419883327329837
2022-12-16,CNY,4171.389659034931,0,0.6927481089659036,-0.010031107198605671,-171521.93230257928,16923309.7,0,16927481.089659035,0,0,0,1100035.5989370674,6927481.089659035,2017-01-01,0.09230480309777955
2022-12-19,CNY,4171.707380652418,0,0.6892343892380655,-0.002075748724353657,-35137.197278380394,16888172.185000002,0,16892343.892380655,0,0,0,1100035.5989370674,6892343.892380655,2017-01-01,0.091791953531414
2022-12-20,CNY,4172.025126469759,0,0.6821632541126468,-0.004185999983464823,-70711.35125418752,16817460.516,0,16821632.541126467,0,0,0,1100035.5989370674,6821632.541126467,2017-01-01,0.09098146518679662
