date,100%策略,100%纳指100,50%策略+50%纳指100
2022-07-22,-0.036358326822908626,-0.25202343040087305,-0.11699913804715212
2022-07-25,-0.04127889712539612,-0.2561300256918645,-0.12167749590702948
2022-07-26,-0.04045506834422785,-0.27070222417448786,-0.12990316716560713
2022-07-27,-0.03911020056569636,-0.23965416747620016,-0.11077230219122536
2022-07-28,-0.03360691257059267,-0.23263083964970277,-0.10411896682732125
2022-07-29,-0.02372639805408905,-0.21874709624010658,-0.09143473924051893
2022-08-01,-0.020251437130073602,-0.21918092551048896,-0.09007002262556763
2022-08-02,-0.021712758634022555,-0.22154496317579953,-0.09212608460652194
2022-08-03,-0.025290919907990816,-0.2003265485412118,-0.08141339618486987
2022-08-04,-0.018976851210943835,-0.19684022653249167,-0.07643576697888477
2022-08-05,-0.014891603103438511,-0.20307614518256467,-0.07809816361950894
2022-08-08,-0.0164617189101538,-0.20600434191297634,-0.08052655693192445
2022-08-09,-0.019714668580220418,-0.21511475659100743,-0.08732216986651398
2022-08-10,-0.024338647314777972,-0.19278069477848192,-0.0764894955538834
2022-08-11,-0.011182236796618672,-0.19798966291646747,-0.07324260348170775
2022-08-12,-0.011794945633840204,-0.18146432764910425,-0.06398186303584685
2022-08-15,-0.0033365357105581417,-0.17535149824959884,-0.05648090698726704
2022-08-16,-3.8828553511338626e-05,-0.17728049988716865,-0.05602350474507023
2022-08-17,0.0,-0.18719702848068076,-0.06167824119194065
2022-08-18,-0.006022574409894177,-0.1850773591804673,-0.06328029568084981
2022-08-19,-0.00573026738422433,-0.20095164885291705,-0.07226597938103674
2022-08-22,-0.013012918310924548,-0.22221229999505243,-0.08800595564483249
2022-08-23,-0.024251764684301458,-0.2227402563393982,-0.09350793233608601
2022-08-24,-0.023940212799141936,-0.22056386944333506,-0.09209408932250762
2022-08-25,-0.016400375448466287,-0.2069444058952512,-0.08065526815895474
2022-08-26,-0.015083760124148471,-0.23943091736487643,-0.09886985778491686
2022-08-29,-0.03657230186699889,-0.24672274870364097,-0.11301984018458033
2022-08-30,-0.036302614236810915,-0.2552677975592126,-0.11792657210339852
2022-08-31,-0.038074687936514695,-0.2595318746854889,-0.12126278531196766
2022-09-01,-0.04366306256949548,-0.25937499622888327,-0.12372224265419596
2022-09-02,-0.03866604420367081,-0.2700059251786302,-0.1277219387588221
2022-09-06,-0.04077585404554973,-0.27526316361095593,-0.13182008599074457
2022-09-07,-0.04184337314384112,-0.2602945453360639,-0.1233375477803863
2022-09-08,-0.03706104855223147,-0.2565656650982844,-0.11894011865921739
2022-09-09,-0.03566602323177104,-0.24044942057545426,-0.10875206326695053
2022-09-12,-0.035665296444282624,-0.23131245723553617,-0.10339112343018741
2022-09-13,-0.020225519396605773,-0.27391702577754395,-0.12106071683671227
2022-09-14,-0.03152813608616445,-0.26783617544803906,-0.12244990993569327
2022-09-15,-0.036140104653237026,-0.28032068370044916,-0.13202118726823364
2022-09-16,-0.0387129573441255,-0.2843096201489864,-0.13558509979144584
2022-09-19,-0.03836107575776426,-0.27876517346533647,-0.13207858206989131
2022-09-20,-0.0353411917040527,-0.2849033447693705,-0.13440907716418093
2022-09-21,-0.03138457179608367,-0.2978005640383893,-0.14043967352290743
2022-09-22,-0.03212593515278683,-0.30601496137773077,-0.14579623082757664
2022-09-23,-0.0336260228066233,-0.3175038948093746,-0.15352886559564927
2022-09-26,-0.039137466790474695,-0.32095099720394327,-0.15808031926319854
2022-09-27,-0.03682229250954916,-0.3198866372137421,-0.15640620306523834
2022-09-28,-0.03705180448194334,-0.3064868035049062,-0.1481963199684292
2022-09-29,-0.03323227734178902,-0.32634097894570446,-0.15869987297797872
2022-09-30,-0.034634432883247745,-0.3380199766613129,-0.1666026318517858
2022-10-03,-0.03463436007099385,-0.32242203442396067,-0.15678411379838486
2022-10-04,-0.034634287253194174,-0.3011342312412587,-0.1435382160311789
2022-10-05,-0.03463421442984793,-0.30169899368503894,-0.14388424263555155
2022-10-06,-0.034634141600955126,-0.30698941794472345,-0.14712723557829266
2022-10-07,-0.0346340687665152,-0.33390191717541573,-0.16368751158091321
2022-10-10,-0.03307295668562349,-0.34068992731700454,-0.1672726105661888
2022-10-11,-0.03430217778840561,-0.34887294896502485,-0.1729696140526914
2022-10-12,-0.030719936207920018,-0.3492186849482364,-0.17165525429061212
2022-10-13,-0.029882930846527045,-0.33425730721749536,-0.16177583381642835
2022-10-14,-0.024430023139779378,-0.3548638958713214,-0.17239274186397946
2022-10-17,-0.031055691261539953,-0.3325105259410598,-0.16086521169479395
2022-10-18,-0.03338114316674501,-0.3273691362151506,-0.1586404166178137
2022-10-19,-0.035192331512874264,-0.33004572403631416,-0.16110266287958308
2022-10-20,-0.03659970085675168,-0.333465071011637,-0.16385531817978605
2022-10-21,-0.03671014176907139,-0.31755880226918676,-0.153926316543323
2022-10-24,-0.03437554484622718,-0.3103224817689134,-0.14841535326625055
2022-10-25,-0.03475911739617088,-0.2958576846911971,-0.13965422966833596
2022-10-26,-0.03135283645223874,-0.3117923122315722,-0.14787091700469412
2022-10-27,-0.03280707496874746,-0.32472090719191204,-0.15651457370656208
2022-10-28,-0.036497485266895,-0.3033263059829826,-0.14476186232345445
2022-10-31,-0.03536071451285061,-0.31181222372798745,-0.14946600932905074
2022-11-01,-0.02785780352498579,-0.3188488258854282,-0.15050658836847874
2022-11-02,-0.027033121968950247,-0.3419346975323021,-0.16454196987779612
2022-11-03,-0.027884338435985367,-0.354951989158492,-0.1731705894625033
2022-11-04,-0.026175712376617977,-0.34490995779969524,-0.16600796527304695
2022-11-07,-0.02584123897220414,-0.33767122378470504,-0.1612569432094928
2022-11-08,-0.021106755377122588,-0.33269334968087316,-0.1560668898279608
2022-11-09,-0.009940412178386482,-0.34849885418388826,-0.16124796775527728
2022-11-10,-0.013062753106393155,-0.2997211183744496,-0.1311719670972148
2022-11-11,0.0,-0.286986811348829,-0.1157500017951103
2022-11-14,-0.0031580942103083265,-0.2939902276789108,-0.12148895044270736
2022-11-15,-0.0017040072127297856,-0.2837201191793568,-0.11445849523700358
2022-11-16,0.0,-0.29410185273457246,-0.11874174667169102
2022-11-17,0.0,-0.2954431635385505,-0.1181844570517
2022-11-18,-0.0011984349842641961,-0.2954335094796824,-0.11870681489322388
2022-11-21,-0.001998027266224889,-0.30288945981920357,-0.12372263994055444
2022-11-22,-0.003712209401374511,-0.2925481526354977,-0.11797561169100512
2022-11-23,0.0,-0.2856768762361722,-0.11050455181136709
2022-11-25,0.0,-0.2906662145349098,-0.11222436141219494
2022-11-28,-0.0016267677321182283,-0.30081987094936824,-0.11930043211685892
2022-11-29,-0.006946103489523958,-0.30590635321546544,-0.12485012835599008
2022-11-30,-0.009890837180840606,-0.27413182858735796,-0.10611618484883079
2022-12-01,-0.00047325413232068847,-0.27341742823112325,-0.10142514400356095
2022-12-02,-0.004736029984454659,-0.27629192425908133,-0.1051187271879026
2022-12-05,-0.008799598985388846,-0.28880961833885055,-0.11468478993049813
2022-12-06,-0.018496687597765238,-0.30311633020260276,-0.12792014064877355
2022-12-07,-0.024755025530780794,-0.30627200069509264,-0.13267495464025925
2022-12-08,-0.023420337335455232,-0.2978180620200881,-0.12679674105660654
2022-12-09,-0.020548390729917654,-0.3022933216841027,-0.12829539376051846
2022-12-12,-0.022519258347326487,-0.2936583694053224,-0.1237782303999384
2022-12-13,-0.020386313609869755,-0.2859490000205154,-0.11804047228366876
2022-12-14,-0.012786909088270626,-0.2915779197192604,-0.11809582650658912
2022-12-15,-0.01662511177188697,-0.31545361405727557,-0.13467146111238915
2022-12-16,-0.026489450692120053,-0.3215779076516868,-0.14288239325756324
2022-12-19,-0.028510213972990806,-0.3311794725746292,-0.1498372760896205
2022-12-20,-0.03257687020123612,-0.3319131810486001,-0.15208298877049653
2022-12-21,-0.025779239619895034,-0.3220509565362206,-0.14284560125893953
2022-12-22,-0.01971290600660236,-0.33892987170962563,-0.15084721002366008
2022-12-23,-0.02157283194746762,-0.337161368800737,-0.15051693863956273
2022-12-27,-0.01897957494880187,-0.34699282100047457,-0.15569110260938013
2022-12-28,-0.02145187246513025,-0.3556307901726511,-0.16233923877735956
2022-12-29,-0.019841796635799325,-0.3392369914573651,-0.15099438215819816
2022-12-30,-0.015500248440349917,-0.3399182059862409,-0.14955171581574223
2023-01-03,-0.013940227071822964,-0.34457146236063496,-0.15187553683782817
2023-01-04,-0.016168673212101137,-0.3414242391696547,-0.15079764318178035
2023-01-05,-0.016352528913388675,-0.3518976862841168,-0.15762949932382653
2023-01-06,-0.020552777717651294,-0.3338488198516415,-0.14769849170545768
2023-01-09,-0.017999610268625732,-0.3297398110459332,-0.14395900776968995
2023-01-10,-0.021383631870175557,-0.3238671263607702,-0.1416837581138115
2023-01-11,-0.01775402354772082,-0.3119956508464804,-0.1325569289075682
2023-01-12,-0.014269129671958258,-0.3085515653453079,-0.12884696612178947
2023-01-13,-0.009566559382327089,-0.3036117040982691,-0.12365713055024241
2023-01-17,-0.008928928225116262,-0.30266379619316375,-0.12277861116849242
2023-01-18,-0.004298557612362308,-0.31152742899138064,-0.12630443359842602
2023-01-19,-0.008078225772817582,-0.318443355412971,-0.1323509766397255
2023-01-20,-0.007971432904044673,-0.29893250244066716,-0.1198852196513086
2023-01-23,-0.007971368728406758,-0.283636249542941,-0.11028379167045232
2023-01-24,-0.007971304547880642,-0.28519839694352533,-0.11125384817204576
2023-01-25,-0.007971240362466103,-0.2871267952024157,-0.11245265314203867
2023-01-26,-0.007971176172162808,-0.2728393914563997,-0.10355851310210418
2023-01-27,-0.007971111976970313,-0.26589329610084655,-0.0992769210041341
2023-01-30,-0.006265659991852246,-0.2812317855061205,-0.10791257268515952
2023-01-31,-0.008972497764121679,-0.26979534601957156,-0.1020304782937933
2023-02-01,-0.0014739650767545687,-0.25403690505353804,-0.08894379479491377
2023-02-02,0.0,-0.22748582965171826,-0.07064241723233255
2023-02-03,-0.00535044073676294,-0.24135026494357836,-0.0814683181092557
2023-02-06,-0.011872638398836677,-0.24791743848856085,-0.08845544134805494
2023-02-07,-0.013141336607765064,-0.23200332582328032,-0.07939645741103041
2023-02-08,-0.014850415422751673,-0.24605541188438818,-0.08861579729268754
2023-02-09,-0.012191706798754032,-0.2529465997801291,-0.09155108851267946
2023-02-10,-0.015377455201360801,-0.2575473622094283,-0.09581335505576039
2023-02-13,-0.01417042266872981,-0.24563727045966655,-0.08800686328511453
2023-02-14,-0.009261563587674937,-0.24029254211884932,-0.0825054880185303
2023-02-15,-0.01345348972969218,-0.23443976893010166,-0.08091231846432623
2023-02-16,-0.008463508803712383,-0.2492472850976334,-0.08747645944830806
2023-02-17,-0.01547719915098611,-0.25433316398505124,-0.09379474069535576
2023-02-21,-0.017563912850328656,-0.2723072114612992,-0.10567698582949792
2023-02-22,-0.02341547636516339,-0.27194699438978565,-0.10811900848144018
2023-02-23,-0.022214861790917473,-0.2650763213691393,-0.10336240552020881
2023-02-24,-0.017627629137312084,-0.27777683918872187,-0.10900672031813308
2023-02-27,-0.023598250661828746,-0.27245865950979165,-0.10843387140551386
2023-02-28,-0.021077687736763107,-0.27340415390018,-0.10786241916579464
2023-03-01,-0.022382216541476763,-0.2796521401238381,-0.11229259664627766
2023-03-02,-0.028310717222212012,-0.27323822476338566,-0.11103219313398804
